DRIVER_ID,DRIVER,DRIVER_CODE,CONSTRUCTOR_ID,CONSTRUCTOR,RACE_ID,RACE,YEAR,AVG_LAP_TIME,GAP_TO_FASTEST
2,Nick Heidfeld,HEI,2,BMW Sauber,40,Monaco Grand Prix,2007,78767.532468,1.468442724000
27,Christijan Albers,ALB,12,Spyker,42,United States Grand Prix,2007,78238.157143,3.307129746000
17,Mark Webber,WEB,9,Red Bull,43,French Grand Prix,2007,79468.782609,1.551639752000
22,Rubens Barrichello,BAR,11,Honda,45,European Grand Prix,2007,129514.118644,3.074818644000
14,David Coulthard,COU,9,Red Bull,45,European Grand Prix,2007,127666.900000,1.227600000000
17,Mark Webber,WEB,9,Red Bull,45,European Grand Prix,2007,127533.866667,1.094566667000
19,Anthony Davidson,DAV,8,Super Aguri,49,Belgian Grand Prix,2007,114039.139535,4.060366808000
20,Sebastian Vettel,VET,5,Toro Rosso,50,Japanese Grand Prix,2007,114134.500000,6.155708955000
16,Adrian Sutil,SUT,12,Spyker,52,Brazilian Grand Prix,2007,88849.767442,14.268499836000
15,Jarno Trulli,TRU,7,Toyota,21,Spanish Grand Prix,2008,90280.090909,1.248709957000
2,Nick Heidfeld,HEI,2,BMW Sauber,27,German Grand Prix,2008,81950.731343,2.867388486000
79,Ukyo Katayama,KAT,18,Minardi,209,Argentine Grand Prix,1997,99077.648649,5.720495871000
65,Johnny Herbert,HER,15,Sauber,210,San Marino Grand Prix,1997,90061.000000,1.985629032000
22,Rubens Barrichello,BAR,24,Stewart,214,French Grand Prix,1997,82362.305556,1.451472223000
57,Mika Häkkinen,HÄK,1,McLaren,215,British Grand Prix,1997,89788.500000,0.268754237000
58,Tarso Marques,MAR,18,Minardi,218,Belgian Grand Prix,1997,147434.888889,19.554957071000
56,Eddie Irvine,IRV,6,Ferrari,221,Luxembourg Grand Prix,1997,83117.818182,2.027097252000
77,Gerhard Berger,BER,22,Benetton,221,Luxembourg Grand Prix,1997,82153.119403,1.062398473000
79,Ukyo Katayama,KAT,18,Minardi,221,Luxembourg Grand Prix,1997,180630.000000,99.539279070000
22,Rubens Barrichello,BAR,24,Stewart,221,Luxembourg Grand Prix,1997,82326.930233,1.236209303000
49,Heinz-Harald Frentzen,FRE,3,Williams,222,Japanese Grand Prix,1997,101694.773585,0.026000000000
21,Giancarlo Fisichella,FIS,17,Jordan,223,European Grand Prix,1997,87437.014706,1.690504068000
74,Esteban Tuero,TUE,18,Minardi,192,Brazilian Grand Prix,1998,85490.840909,4.494354798000
65,Johnny Herbert,HER,15,Sauber,194,San Marino Grand Prix,1998,94852.916667,3.488513441000
30,Michael Schumacher,MSC,6,Ferrari,196,Monaco Grand Prix,1998,88641.973684,3.793326625000
25,Alexander Wurz,WUR,22,Benetton,196,Monaco Grand Prix,1998,86203.738095,1.355091036000
49,Heinz-Harald Frentzen,FRE,3,Williams,198,French Grand Prix,1998,81569.750000,1.498947183000
25,Alexander Wurz,WUR,22,Benetton,199,British Grand Prix,1998,109311.915254,10.303915254000
71,Damon Hill,HIL,17,Jordan,206,Japanese Grand Prix,1998,104235.823529,1.441000000000
70,Alessandro Zanardi,ZAN,3,Williams,178,Monaco Grand Prix,1999,86704.131579,2.450131579000
49,Heinz-Harald Frentzen,FRE,17,Jordan,184,German Grand Prix,1999,109417.533333,0.115444444000
65,Johnny Herbert,HER,24,Stewart,185,Hungarian Grand Prix,1999,84865.118421,1.962053486000
14,David Coulthard,COU,1,McLaren,186,Belgian Grand Prix,1999,116887.659091,0.000000000000
35,Jacques Villeneuve,VIL,16,BAR,187,Italian Grand Prix,1999,88013.584906,1.010136630000
57,Mika Häkkinen,HÄK,1,McLaren,190,Japanese Grand Prix,1999,103373.301887,0.000000000000
56,Eddie Irvine,IRV,19,Jaguar,158,Australian Grand Prix,2000,98800.000000,1.524362069000
35,Jacques Villeneuve,VIL,16,BAR,163,European Grand Prix,2000,93390.826087,3.523826087000
23,Ralf Schumacher,SCH,3,Williams,165,Canadian Grand Prix,2000,88141.328125,5.613921875000
41,Ricardo Zonta,ZON,16,BAR,166,French Grand Prix,2000,83564.875000,1.821291667000
8,Kimi Räikkönen,RAI,51,Alfa Romeo,1045,Bahrain Grand Prix,2020,128512.375000,2.415620614000
839,Esteban Ocon,OCO,4,Renault,1047,Abu Dhabi Grand Prix,2020,107085.709091,1.837618182000
847,George Russell,RUS,3,Williams,1057,Azerbaijan Grand Prix,2021,116712.625000,8.600142241000
854,Mick Schumacher,MSC,210,Haas F1 Team,1060,Austrian Grand Prix,2021,73050.826087,2.141769749000
847,George Russell,RUS,3,Williams,1062,Hungarian Grand Prix,2021,108032.757143,1.129914286000
840,Lance Stroll,STR,117,Aston Martin,1070,Mexico City Grand Prix,2021,85899.086957,2.531678506000
815,Sergio Pérez,PER,9,Red Bull,1071,São Paulo Grand Prix,2021,78630.859155,0.562535211000
844,Charles Leclerc,LEC,6,Ferrari,1071,São Paulo Grand Prix,2021,78765.746479,0.697422535000
852,Yuki Tsunoda,TSU,213,AlphaTauri,1072,Saudi Arabian Grand Prix,2021,155069.367347,56.526367347000
822,Valtteri Bottas,BOT,131,Mercedes,1073,Abu Dhabi Grand Prix,2021,93531.172414,2.006990596000
1,Lewis Hamilton,HAM,131,Mercedes,1074,Bahrain Grand Prix,2022,102864.192982,2.083170255000
825,Kevin Magnussen,MAG,210,Haas F1 Team,1075,Saudi Arabian Grand Prix,2022,102472.020000,3.595877143000
844,Charles Leclerc,LEC,6,Ferrari,1076,Australian Grand Prix,2022,90802.551724,0.000000000000
844,Charles Leclerc,LEC,6,Ferrari,1078,Miami Grand Prix,2022,99439.368421,3.299829959000
854,Mick Schumacher,MSC,210,Haas F1 Team,1081,Azerbaijan Grand Prix,2022,113867.600000,4.061850000000
822,Valtteri Bottas,BOT,51,Alfa Romeo,1083,British Grand Prix,2022,256319.250000,97.274807692000
4,Fernando Alonso,ALO,214,Alpine F1 Team,1085,French Grand Prix,2022,102735.679245,3.621443951000
846,Lando Norris,NOR,1,McLaren,1085,French Grand Prix,2022,102908.264151,3.794028857000
825,Kevin Magnussen,MAG,210,Haas F1 Team,1088,Dutch Grand Prix,2022,81106.138889,1.097157757000
18,Jenson Button,BUT,1,McLaren,914,Japanese Grand Prix,2014,153876.613636,1.535227272000
3,Nico Rosberg,ROS,131,Mercedes,930,Spanish Grand Prix,2015,92008.409091,0.000000000000
833,Roberto Merhi,MER,209,Manor Marussia,932,Canadian Grand Prix,2015,83092.192982,4.332978696000
18,Jenson Button,BUT,1,McLaren,937,Belgian Grand Prix,2015,120899.595238,4.146409191000
3,Nico Rosberg,ROS,131,Mercedes,940,Japanese Grand Prix,2015,100103.245283,0.357811321000
829,Will Stevens,STE,209,Manor Marussia,941,Russian Grand Prix,2015,114484.352941,4.465032186000
826,Daniil Kvyat,KVY,9,Red Bull,944,Brazilian Grand Prix,2015,78436.085714,1.406649094000
13,Felipe Massa,MAS,3,Williams,944,Brazilian Grand Prix,2015,78509.057143,1.479620523000
834,Alexander Rossi,RSS,209,Manor Marussia,944,Brazilian Grand Prix,2015,81995.880597,4.966443977000
85,Andrea Montermini,MON,28,Forti,226,Argentine Grand Prix,1996,100528.260870,6.409997712000
49,Heinz-Harald Frentzen,FRE,15,Sauber,234,German Grand Prix,1996,111608.318182,2.643495960000
77,Gerhard Berger,BER,22,Benetton,238,Portuguese Grand Prix,1996,87372.228571,1.330585714000
75,Shinji Nakano,NAK,20,Prost,207,Australian Grand Prix,1997,97706.196429,4.107610222000
9,Robert Kubica,KUB,2,BMW Sauber,31,Italian Grand Prix,2008,98640.849057,0.386245283000
12,Nelson Piquet Jr.,PIQ,4,Renault,31,Italian Grand Prix,2008,99281.867925,1.027264151000
13,Felipe Massa,MAS,6,Ferrari,32,Singapore Grand Prix,2008,115925.803279,3.133588993000
12,Nelson Piquet Jr.,PIQ,4,Renault,32,Singapore Grand Prix,2008,112803.461538,0.011247252000
1,Lewis Hamilton,HAM,1,McLaren,34,Chinese Grand Prix,2008,98525.053571,0.000000000000
1,Lewis Hamilton,HAM,1,McLaren,1,Australian Grand Prix,2009,97563.758621,5.741523327000
2,Nick Heidfeld,HEI,2,BMW Sauber,7,Turkish Grand Prix,2009,90503.017241,1.109086207000
21,Giancarlo Fisichella,FIS,10,Force India,8,British Grand Prix,2009,84014.166667,1.192033334000
3,Nico Rosberg,ROS,3,Williams,12,Belgian Grand Prix,2009,115163.704545,0.822909090000
1,Lewis Hamilton,HAM,1,McLaren,16,Brazilian Grand Prix,2009,78338.380282,0.266816902000
155,Kamui Kobayashi,KOB,15,Sauber,339,Malaysian Grand Prix,2010,104954.125000,4.446767857000
811,Bruno Senna,SEN,164,HRT,343,Turkish Grand Prix,2010,98178.586957,6.323069716000
811,Bruno Senna,SEN,164,HRT,344,Canadian Grand Prix,2010,87320.076923,6.842134066000
18,Jenson Button,BUT,1,McLaren,345,European Grand Prix,2010,106004.017544,0.222070176000
20,Sebastian Vettel,VET,9,Red Bull,345,European Grand Prix,2010,105781.947368,0.000000000000
10,Timo Glock,GLO,166,Virgin,345,European Grand Prix,2010,110068.490909,4.286543541000
16,Adrian Sutil,SUT,10,Force India,346,British Grand Prix,2010,98444.846154,0.787153846000
29,Sakon Yamamoto,YAM,164,HRT,347,German Grand Prix,2010,86680.210526,8.189703063000
15,Jarno Trulli,TRU,205,Lotus,349,Belgian Grand Prix,2010,125974.214286,7.593484556000
15,Jarno Trulli,TRU,205,Lotus,352,Japanese Grand Prix,2010,107658.352941,5.256032186000
16,Adrian Sutil,SUT,10,Force India,355,Abu Dhabi Grand Prix,2010,109730.218182,1.060454546000
